by,descendants,id,kids,score,time,title,type,url,text
jjgreen,952.0,40267639,"[40267756, 40268301, 40267806, 40267932, 40268167, 40275067, 40267920, 40267999, 40271764, 40274173, 40267846, 40274139, 40267843, 40267902, 40267844, 40268421, 40268589, 40267866, 40268004, 40269801, 40267804, 40269445, 40269121, 40267966, 40269191, 40270984, 40267835, 40271904, 40272674, 40269782, 40271994, 40267894, 40268938, 40268597, 40267962, 40272686, 40267905, 40269013, 40273264, 40272196, 40270000, 40270793, 40273208, 40271124, 40271558, 40273846, 40268086, 40267749, 40269802, 40268370, 40267963, 40271347, 40270319, 40269541, 40268005, 40267813, 40268592, 40268513, 40268016, 40267733, 40268371, 40268021, 40271885, 40267798, 40267809, 40271259, 40273216]",676,1714938659,Israel shuts down local Al Jazeera offices,story,https://www.theguardian.com/world/article/2024/may/05/israel-shuts-down-local-al-jazeera-offices-in-dark-day-for-the-media,
mfiguiere,139.0,40266728,"[40267413, 40271047, 40269354, 40267584, 40267226, 40267701, 40268381, 40267608, 40267286, 40267562, 40267252, 40267528]",295,1714931412,Microsoft CTO: Thoughts on OpenAI (2019),story,https://twitter.com/techemails/status/1787176471146156193,
altilunium,5.0,40244729,"[40268695, 40267056, 40267419, 40267933, 40270307]",118,1714717463,Map Machine: Python renderer for OpenStreetMap with custom icons,story,https://github.com/enzet/map-machine,
nateb2022,1.0,40267367,[40272408],29,1714936433,Comprehensive Rust: free Rust course developed by the Android team at Google,story,https://google.github.io/comprehensive-rust/,
sph,25.0,40244356,"[40269824, 40268173, 40267391, 40267431, 40269240, 40267592, 40270897, 40269601]",58,1714713959,Beware of the Turing tar-pit (2004),story,http://weblog.raganwald.com/2004/10/beware-of-turing-tar-pit.html,
doener,12.0,40267558,"[40273838, 40272044, 40268806]",62,1714938032,Tasmota: Open-source firmware for ESP devices,story,https://tasmota.github.io/docs/,
paulpauper,14.0,40265986,"[40268524, 40269983, 40268309, 40268680]",49,1714925873,The Trouble with Soho,story,https://www.edwest.co.uk/p/the-trouble-with-soho,
nsoonhui,611.0,40262921,"[40267353, 40267547, 40270369, 40267615, 40268044, 40269294, 40267516, 40263252, 40270046, 40269431, 40269647, 40268956, 40269724, 40269380, 40271140, 40269844, 40269625, 40263232, 40267840, 40269154, 40263304, 40271309, 40271715, 40269333, 40267462, 40267530, 40269084, 40272679, 40270798, 40269507, 40271552, 40270250, 40269437, 40268404, 40267761, 40269253, 40269277, 40267468, 40267887, 40263282, 40267321, 40269698, 40267574, 40270859, 40268346, 40268581, 40269910, 40269302, 40267499, 40264064, 40267354, 40267726, 40268604, 40268518, 40263228, 40268824, 40269703, 40267444, 40263446, 40270550, 40268979, 40268745, 40270519, 40263284, 40269494]",859,1714893266,MIT abandons requirement of DEI statements for hiring and promotions,story,https://whyevolutionistrue.com/2024/05/04/mit-abandons-use-of-dei-statements/,
mooreds,325.0,40267666,"[40268920, 40270598, 40273674, 40268284, 40271360, 40268294, 40268700, 40269357, 40272056, 40268265, 40271719, 40272844, 40269126, 40274127, 40268630, 40268649, 40270306, 40272545, 40273482, 40270305, 40273825, 40272646, 40268742, 40272093, 40268980, 40269962, 40272355, 40271727, 40269883, 40270147, 40269088, 40271372, 40269876, 40268883, 40269281, 40269788, 40270257, 40271445, 40272782, 40270441, 40269879, 40272850, 40271157, 40270082, 40270020, 40269919, 40268255, 40271299, 40273834, 40271209, 40269070, 40270482]",745,1714938828,Social engineering takeovers of open source projects,story,https://openssf.org/blog/2024/04/15/open-source-security-openssf-and-openjs-foundations-issue-alert-for-social-engineering-takeovers-of-open-source-projects/,
ayende,9.0,40250335,"[40266991, 40267194]",50,1714758606,Deniable Encryption,story,https://ayende.com/blog/200993-C/deniable-encryption,
pausing,2.0,40260985,[40268485],15,1714863585,The robustness of some fossil leaf venation networks to simulated damage,story,https://royalsocietypublishing.org/doi/10.1098/rsos.240086,
wgx,3.0,40271980,"[40272033, 40275214]",3,1714979301,"1M homepages scanned, and 95% failed basic accessibility checks",story,https://webaim.org/projects/million/#errors,
mr_tyzic,0.0,40260996,,24,1714863697,Variations on the theme of silence,story,https://commonreader.wustl.edu/c/variations-on-the-theme-of-silence/,
akkartik,10.0,40241200,"[40269082, 40207753, 40213701]",26,1714682923,Befreak is a purely reversible two-dimensional programming language (2003),story,http://tunes.org/~iepos/befreak.html,
nateb2022,47.0,40262115,"[40263924, 40262455, 40265849, 40263039, 40263169, 40262486, 40263131, 40264293, 40262662, 40262943, 40264718]",81,1714880764,"Cylon: JavaScript framework for robotics, drones, and the Internet of Things",story,https://github.com/hybridgroup/cylon,
